num_utenti,metrica,richiesta,valore_medio
160,throughput,total,18.76
160,response_times,search_page,796.46
160,response_times,movie_detail,1056.20
160,response_times,total,1852.66
160,throughput,search_page,19.97
160,throughput,movie_detail,19.69
160,throughput,total,19.94
160,response_times,search_page,806.61
160,response_times,movie_detail,1029.70
160,response_times,total,1836.31
160,throughput,search_page,20.13
160,throughput,movie_detail,19.95
160,throughput,total,20.11
160,response_times,search_page,848.60
160,response_times,movie_detail,1042.96
160,response_times,total,1891.56
160,throughput,search_page,19.81
160,throughput,movie_detail,19.71
160,throughput,total,19.78
160,response_times,search_page,806.16
160,response_times,movie_detail,1045.32
160,response_times,total,1851.48
160,throughput,search_page,19.54
160,throughput,movie_detail,19.48
160,throughput,total,19.52
160,response_times,search_page,983.12
160,response_times,movie_detail,1296.26
160,response_times,total,2279.38
160,throughput,search_page,18.92
160,throughput,movie_detail,18.79
160,throughput,total,18.9
160,response_times,search_page,800.11
160,response_times,movie_detail,1013.50
160,response_times,total,1813.61
160,throughput,search_page,20.22
160,throughput,movie_detail,19.92
160,throughput,total,20.20
160,response_times,search_page,1000.04
160,response_times,movie_detail,1297.68
160,response_times,total,3297.72
160,throughput,search_page,18.62
160,throughput,movie_detail,18.2
160,throughput,total,18.57
160,response_times,search_page,810.79
160,response_times,movie_detail,1045.55
160,response_times,total,1856.34
160,throughput,search_page,20.56
160,throughput,movie_detail,20.22
160,throughput,total,20.53
160,response_times,search_page,815.10
160,response_times,movie_detail,1031.10
160,response_times,total,1846.20
160,throughput,search_page,20.51
160,throughput,movie_detail,20.20
160,throughput,total,20.49
180,response_times,search_page,1184.78
180,response_times,movie_detail,1611.52
180,response_times,total,2796.31
180,throughput,search_page,18.5
180,throughput,movie_detail,18.35
180,throughput,total,18.49
180,response_times,search_page,1113.15
180,response_times,movie_detail,1477.20
180,response_times,total,2590.36
180,throughput,search_page,19.25
180,throughput,movie_detail,19.17
180,throughput,total,19.23
180,response_times,search_page,1201.92
180,response_times,movie_detail,1602.53
180,response_times,total,2804.45
180,throughput,search_page,18.7
180,throughput,movie_detail,18.4
180,throughput,total,18.52
180,response_times,search_page,1087.42
180,response_times,movie_detail,1487.92
180,response_times,total,2575.33
180,throughput,search_page,19.69
180,throughput,movie_detail,19.43
180,throughput,total,19.67
180,response_times,search_page,1187.78
180,response_times,movie_detail,1618.52
180,response_times,total,2796.31
180,throughput,search_page,18.5
180,throughput,movie_detail,18.35
180,throughput,total,18.43
180,response_times,search_page,1284.21
180,response_times,movie_detail,1511.2
180,response_times,total,2796.31
180,throughput,search_page,18.4
180,throughput,movie_detail,18.39
180,throughput,total,18.4
180,response_times,search_page,1142.66
180,response_times,movie_detail,1433.35
180,response_times,total,2576.01
180,throughput,search_page,20.17
180,throughput,movie_detail,19.89
180,throughput,total,20.15
180,response_times,search_page,1184.78
180,response_times,movie_detail,1611.52
180,response_times,total,2796.31
180,throughput,search_page,18.5
180,throughput,movie_detail,18.35
180,throughput,total,18.49
180,response_times,search_page,1114.8
180,response_times,movie_detail,1731.52
180,response_times,total,2846.32
180,throughput,search_page,19.13
180,throughput,movie_detail,18.98
180,throughput,total,19.05
180,response_times,search_page,1101.47
180,response_times,movie_detail,1531.94
180,response_times,total,2633.41
180,throughput,search_page,19.73
180,throughput,movie_detail,19.62
180,throughput,total,19.71
